ApplicationDate,Age,AnnualIncome,CreditScore,Experience,LoanAmount,LoanDuration,NumberOfDependents,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,OutstandingAmount,DaysOverdue,CallResponse,DistanceFromBranch,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,EmploymentStatus_Self-Employed,EmploymentStatus_Unemployed,EducationLevel_Bachelor,EducationLevel_Doctorate,EducationLevel_High School,EducationLevel_Master,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Widowed,HomeOwnershipStatus_Other,HomeOwnershipStatus_Own,HomeOwnershipStatus_Rent,LoanPurpose_Debt Consolidation,LoanPurpose_Education,LoanPurpose_Home,LoanPurpose_Other,Outstanding_norm,Days_norm,Credit_norm,Distance_norm,PriorityScore,RecoveryStrategy
2018-01-01,45,26032,467,24,17499,36,4,581,0.231310783993895,3,3,0.1677948754822763,0,0,25,14,2540,665,30050,1749,2169.333333333333,0.704785929274909,7,14562,158,0,16,28301,0.268999,0.2587266314276737,703.8591139641082,0.592282935140185,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1640888021468651,0.8770949720670391,0.260450160771704,0.3061224489795918,35.77614900326285,Field Visit
2018-01-02,38,47162,552,16,27728,60,3,365,0.6488074136588605,3,0,0.2628667332556727,0,0,30,24,2158,127,37462,453928,3930.1666666666665,0.912653303007082,8,9462,35,1,18,10038,0.256728,0.2483885078823629,811.2359489104584,0.2992839868310398,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,0.10187850695291534,0.1899441340782123,0.5337620578778135,0.346938775510204,19.202031859315653,SMS Reminder
2018-01-03,47,26925,548,26,14069,48,0,571,0.1964835571677911,2,0,0.3305294050108002,0,0,20,9,1102,1615,85500,35803,2243.75,0.6802662343089624,5,9563,46,0,19,49697,0.235069,0.2540572620736555,469.6769746898984,0.4638114650428517,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,0.10311051475969749,0.25139664804469275,0.5209003215434083,0.36734693877551017,16.005963122351712,SMS Reminder
2018-01-04,58,51278,583,36,40059,36,1,361,0.393795776384494,2,1,0.2687181441963335,0,0,20,22,946,1931,50862,78937,4273.166666666667,0.8811739000759408,6,24912,19,0,14,7034,0.233559,0.2582132064182497,1610.1914964851364,0.4612952525024696,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0.2903391070992925,0.1005586592178771,0.6334405144694533,0.26530612244897955,16.216265160976068,SMS Reminder
2018-01-05,37,179937,625,18,34774,48,3,701,0.524537707243813,5,2,0.318858329161568,0,0,24,10,1355,8575,75785,36364,14994.75,0.8945497431412873,4,23995,65,0,12,39421,0.217274,0.1961446386274885,1051.0556007484106,0.1168446023273752,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,0.2791534520614784,0.3575418994413408,0.7684887459807075,0.22448979591836735,20.750712567662635,Regular Call
2018-01-06,37,81589,547,14,29265,48,2,357,0.0664533023622935,4,1,0.2766880185243311,0,0,28,12,7864,2524,21768,6077,6799.083333333333,0.877577153382061,5,24284,125,0,44,15691,0.2507649999999999,0.2406462864964628,955.138627743428,0.1929875783858257,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,0.28267870212246893,0.6927374301675977,0.517684887459807,0.8775510204081631,35.009703045306765,Field Visit
2018-01-07,58,144165,577,35,32748,120,3,151,0.1574705728368731,1,0,0.6813012520282408,0,0,22,28,16369,395,30052,40338,12013.75,0.7963105438657676,4,9010,111,0,42,9771,0.299248,0.2413664753328558,725.1539181071531,0.0729292617298639,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,0.09636496706513784,0.6145251396648045,0.6141479099678455,0.836734693877551,26.29627187328355,Regular Call
2018-01-08,49,73477,455,28,15171,72,3,451,0.2043446138024926,4,0,0.1672195961629757,1,0,31,26,15150,141,64535,7203,6123.083333333333,0.7529637266746162,3,5353,17,1,29,57332,0.302671,0.3026443789356789,458.9962847774051,0.1486173281071472,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.05175652598194681,0.0893854748603352,0.22186495176848875,0.5714285714285714,29.42582599042476,Priority Call
2018-01-09,34,85816,515,10,16158,60,4,136,0.3793879110294676,2,1,0.3470643015315362,0,0,25,14,4783,106,77360,33326,7151.333333333333,0.5231303689582703,4,6867,154,0,29,44034,0.263658,0.2648503932550264,488.42871370183104,0.0873164044516404,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,0.07022444498658209,0.8547486033519552,0.41479099678456577,0.5714285714285714,32.18468132269354,Priority Call
2018-01-10,46,26333,490,22,32087,84,0,195,0.1687991426021565,10,0,0.4336803892276928,0,0,17,12,1368,1151,74112,38513,2194.4166666666665,0.8920681757868144,8,18497,180,0,2,35599,0.312087,0.3562950458678455,1041.919556600574,0.5636666798012717,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0.21208831422298122,1.0,0.33440514469453375,0.02040816326530612,38.12063879607063,Field Visit
